"Step","breezy-sweep-4 - train/eps_reward","breezy-sweep-4 - train/eps_reward__MIN","breezy-sweep-4 - train/eps_reward__MAX","major-sweep-7 - train/eps_reward","major-sweep-7 - train/eps_reward__MIN","major-sweep-7 - train/eps_reward__MAX","twilight-sweep-4 - train/eps_reward","twilight-sweep-4 - train/eps_reward__MIN","twilight-sweep-4 - train/eps_reward__MAX","proud-sweep-1 - train/eps_reward","proud-sweep-1 - train/eps_reward__MIN","proud-sweep-1 - train/eps_reward__MAX","exalted-sweep-3 - train/eps_reward","exalted-sweep-3 - train/eps_reward__MIN","exalted-sweep-3 - train/eps_reward__MAX","proud-sweep-6 - train/eps_reward","proud-sweep-6 - train/eps_reward__MIN","proud-sweep-6 - train/eps_reward__MAX","tough-sweep-1 - train/eps_reward","tough-sweep-1 - train/eps_reward__MIN","tough-sweep-1 - train/eps_reward__MAX","warm-sweep-2 - train/eps_reward","warm-sweep-2 - train/eps_reward__MIN","warm-sweep-2 - train/eps_reward__MAX","sleek-sweep-8 - train/eps_reward","sleek-sweep-8 - train/eps_reward__MIN","sleek-sweep-8 - train/eps_reward__MAX"
"145","0","0","0","0","0","0","0","0","0","0","0","0","0.235","0.235","0.235","0","0","0","0","0","0","0.7525","0.7525","0.7525","0","0","0"
"146","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6174999999999999","0.6174999999999999","0.6174999999999999","0","0","0","0","0","0"
"147","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"148","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.09999999999999998","0.09999999999999998","0.09999999999999998","0","0","0"
"149","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.685","0.685","0.685","0.21250000000000002","0.21250000000000002","0.21250000000000002","0","0","0","0","0","0"
"150","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"151","0","0","0","0.32499999999999996","0.32499999999999996","0.32499999999999996","0","0","0","0","0","0","0","0","0","0.82","0.82","0.82","0.865","0.865","0.865","0.91","0.91","0.91","0","0","0"
"152","0","0","0","0","0","0","0.6399999999999999","0.6399999999999999","0.6399999999999999","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"153","0","0","0","0","0","0","0.12250000000000005","0.12250000000000005","0.12250000000000005","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"154","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.4375","0.4375","0.4375","0","0","0"
"155","0.55","0.55","0.55","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"156","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"157","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"158","0","0","0","0","0","0","0","0","0","0","0","0","0.5049999999999999","0.5049999999999999","0.5049999999999999","0","0","0","0","0","0","0","0","0","0","0","0"
"159","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"160","0.2799999999999999","0.2799999999999999","0.2799999999999999","0.7075","0.7075","0.7075","0.12250000000000005","0.12250000000000005","0.12250000000000005","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"161","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"162","0","0","0","0.235","0.235","0.235","0","0","0","0","0","0","0","0","0","0","0","0","0.25750000000000006","0.25750000000000006","0.25750000000000006","0","0","0","0","0","0"
"163","0","0","0","0.09999999999999998","0.09999999999999998","0.09999999999999998","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7525","0.7525","0.7525","0","0","0"
"164","0","0","0","0","0","0","0.6399999999999999","0.6399999999999999","0.6399999999999999","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"165","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
